Terminal,BCA 1,BCA 2,BCA 3,RGC,People,RGC Flights,Muslim Countries
1st Terminal,81,76,65,29,23,3,
2nd Terminal,74,0,0,27,19,3,
3rd Terminal,82,100,0,22,18,2,
,,Total Flights,14,Total Bags,556,Total People,60
