Terminal,BCA 1,BCA 2,BCA 3,RGC,People,RGC Flights,Muslim Countries
1st Terminal,12,0,0,12,12,2,Indonesia 1
2nd Terminal,12,0,0,0,0,2,
3rd Terminal,12,0,0,12,12,2,Turkey 1
,,Total Flights,9,Total Bags,60,Total People,24
